지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%)
184,제주,9/1/2019 0:00,23.7,,2,67
184,제주,9/1/2019 1:00,23.7,,2.1,67
184,제주,9/1/2019 2:00,23.5,,1.4,70
184,제주,9/1/2019 3:00,23.4,,1.1,68
184,제주,9/1/2019 4:00,23.4,,1.6,69
184,제주,9/1/2019 5:00,23.3,,1.2,71
184,제주,9/1/2019 6:00,23.4,,1.2,73
184,제주,9/1/2019 7:00,23.5,0,0.9,71
184,제주,9/1/2019 8:00,24,0,0.7,69
184,제주,9/1/2019 9:00,24.9,0,1.3,68
184,제주,9/1/2019 10:00,26.2,,1.8,64
184,제주,9/1/2019 11:00,25.9,,2.7,60
184,제주,9/1/2019 12:00,25.7,0,3.5,62
184,제주,9/1/2019 13:00,25.1,0,3.4,72
184,제주,9/1/2019 14:00,25.1,0,1,64
184,제주,9/1/2019 15:00,23.5,0.6,2.6,85
184,제주,9/1/2019 16:00,23.8,0,1.8,90
184,제주,9/1/2019 17:00,23.1,0.2,2.2,91
184,제주,9/1/2019 18:00,22.5,1.3,1.5,95
184,제주,9/1/2019 19:00,21.5,9.7,3.4,98
184,제주,9/1/2019 20:00,20.6,2.3,2.1,95
184,제주,9/1/2019 21:00,21.2,1.5,2.4,97
184,제주,9/1/2019 22:00,21.7,7.3,2.4,98
184,제주,9/1/2019 23:00,21.9,2.1,2.7,98
184,제주,9/2/2019 0:00,21.9,1.1,3.1,97
184,제주,9/2/2019 1:00,22.1,1,2.9,97
184,제주,9/2/2019 2:00,22.3,0.9,3.9,95
184,제주,9/2/2019 3:00,22.8,0.1,3.9,96
184,제주,9/2/2019 4:00,23.1,0,3.2,96
184,제주,9/2/2019 5:00,23.6,,3.3,97
184,제주,9/2/2019 6:00,23.3,0.1,4.2,98
184,제주,9/2/2019 7:00,23.3,1.8,2.9,99
184,제주,9/2/2019 8:00,22.3,3.9,6.1,99
184,제주,9/2/2019 9:00,22.2,16.4,3.2,99
184,제주,9/2/2019 10:00,22.5,1.5,1.2,98
184,제주,9/2/2019 11:00,23.2,,1.4,95
184,제주,9/2/2019 12:00,23.8,,1.5,94
184,제주,9/2/2019 13:00,24.3,,2.1,93
